,Id,URL,Price,Specs,Availability
191,1571675,https://housinganywhere.com/room/1571675/de/Berlin/storkower-stra-e,€1590/Month (Some bills included),Apartment•2 Bedrooms •38 m²,From 1 Mar 2023
192,1410219,https://housinganywhere.com/room/1410219/de/Berlin/heegerm-hler-weg,€1300/Month (Bills included),Apartment•1 bedroom•42 m²,From 1 Mar 2023
193,1689841,https://housinganywhere.com/room/1689841/de/Berlin/chausseestra-e,€1780/Month (Bills included),Apartment•1 bedroom•44 m²,From 20 Mar 2023
194,1681492,https://housinganywhere.com/room/1681492/de/Berlin/storkower-stra-e,€1590/Month (Some bills included),Apartment•2 Bedrooms •48 m²,From 31 Mar 2023
195,1493879,https://housinganywhere.com/room/1493879/de/Berlin/erich-boltze-stra-e,€1590/Month (Some bills included),Apartment•1 bedroom•48 m²,From 31 Mar 2023
196,1885239,https://housinganywhere.com/room/1885239/de/Berlin/boxhagener-stra-e,€3300/Month (Bills included),Apartment•2 Bedrooms •110 m²,From 1 Apr 2023
197,1711170,https://housinganywhere.com/room/1711170/de/Berlin/storkower-stra-e,€2160/Month (Bills included),House•1 bedroom•22 m²,From 3 Jan 2023
198,1645166,https://housinganywhere.com/room/1645166/de/Berlin/lauterberger-stra-e,€820/Month (Bills included),Private room•18 m²•2 housemates,From 1 Feb 2023
199,1625724,https://housinganywhere.com/room/1625724/de/Berlin/w-hlertstra-e,€2050/Month (Bills included),Apartment•1 bedroom•60 m²,From 9 Mar 2023
200,1838708,https://housinganywhere.com/room/1838708/de/Berlin/goethestra-e,€1690/Month (Bills included),Apartment•1 bedroom•51 m²,From 6 Jun 2023
201,1695394,https://housinganywhere.com/room/1695394/de/Berlin/schivelbeiner-stra-e,€930/Month (Bills included),Private room•21 m²•1 housemate,From 18 Dec 2022
202,1885159,https://housinganywhere.com/room/1885159/de/Berlin/hermannstra-e,€1100/Month (Bills included),Private room•13 m²•3 housemates,From 16 Jan 2023
203,1645258,https://housinganywhere.com/room/1645258/de/Berlin/greifswalder-stra-e,€780/Month (Bills included),Private room•9 m²•4 housemates,From 1 Feb 2023
204,1753710,https://housinganywhere.com/room/1753710/de/Berlin/ystader-stra-e,€1875/Month (Bills included),Apartment•1 bedroom•60 m²,From 1 May 2023
205,1562566,https://housinganywhere.com/room/1562566/de/Berlin/r-ckertstra-e,€1300/Month (Bills included),Studio•23 m²•Space for 2 people,From 1 Jun 2023
206,1724129,https://housinganywhere.com/room/1724129/de/Berlin/b-nschstra-e,€1600/Month (Bills included),Apartment•1 bedroom•25 m²,From 18 Dec 2022
207,1647743,https://housinganywhere.com/room/1647743/de/Berlin/paul-schneider-stra-e,€390/Month (Bills excluded),Shared room•17 m²•4 housemates,From 1 Feb 2023
208,1892027,https://housinganywhere.com/room/1892027/de/Berlin/boxhagener-stra-e,€1090/Month (Bills included),Private room•14 m²•2 housemates,From 4 Feb 2023
209,1889755,https://housinganywhere.com/room/1889755/de/Berlin/archibaldweg,€1115/Month (Bills included),Private room•22 m²,From 4 Feb 2023
210,1721457,https://housinganywhere.com/room/1721457/de/Berlin/yorckstra-e,€1890/Month (Bills included),Apartment•1 bedroom•50 m²,From 10 Feb 2023
211,1645953,https://housinganywhere.com/room/1645953/de/Berlin/helmholtzstra-e,€1600/Month (Bills included),Studio•40 m²•Space for 2 people,From 1 Mar 2023
212,1645934,https://housinganywhere.com/room/1645934/de/Berlin/oldenburger-stra-e,€1600/Month (Bills included),Apartment•1 bedroom•40 m²,From 1 Mar 2023
213,1877326,https://housinganywhere.com/room/1877326/de/Berlin/kreuzbergstra-e,€1600/Month (Bills included),Apartment•1 bedroom•55 m²,From 9 Apr 2023
214,1749675,https://housinganywhere.com/room/1749675/de/Berlin/buchholzer-stra-e,€1890/Month (Bills included),Apartment•1 bedroom•55 m²,From 1 Jun 2023
215,1468790,https://housinganywhere.com/room/1468790/de/Berlin/tr-nkeweg,€1480/Month (Bills included),Apartment•1 bedroom•72 m²,From 1 Jun 2023
216,1683948,https://housinganywhere.com/room/1683948/de/Berlin/sophie-charlotten-stra-e,€1650/Month (Bills included),Apartment•1 bedroom•44 m²,From 1 May 2023
217,1900346,https://housinganywhere.com/room/1900346/de/Berlin/leibnizstra-e,€1000/Month (Bills included),Private room•15 m²•4 housemates,From 18 Dec 2022
218,1900242,https://housinganywhere.com/room/1900242/de/Berlin/leibnizstra-e,€1000/Month (Bills included),Private room•15 m²•4 housemates,From 18 Dec 2022
219,1889524,https://housinganywhere.com/room/1889524/de/Berlin/lange-stra-e,From€2500/Month (Bills included),Apartment•2 Bedrooms •114 m²,From 18 Dec 2022
220,1731715,https://housinganywhere.com/room/1731715/de/Berlin/schl-terstra-e,€2200/Month (Bills included),Apartment•2 Bedrooms •70 m²,From 18 Dec 2022
221,1763640,https://housinganywhere.com/room/1763640/de/Berlin/franklinstra-e,From€1790/Month (Bills included),Studio•28 m²•Space for 1 person,From 1 Jan 2023
222,1866402,https://housinganywhere.com/room/1866402/de/Berlin/kantstra-e,€950/Month (Bills included),Private room•19 m²•2 housemates,From 1 Feb 2023
223,1537540,https://housinganywhere.com/room/1537540/de/Berlin/oderstra-e,€1920/Month (Bills included),Apartment•2 Bedrooms •58 m²,From 1 Mar 2023
224,1600348,https://housinganywhere.com/room/1600348/de/Berlin/pettenkoferstra-e,€1530/Month (Bills included),Studio•38 m²•Space for 2 people,From 3 Mar 2023
225,1858793,https://housinganywhere.com/room/1858793/de/Berlin/bellevuestra-e,€2500/Month (Bills included),Apartment•1 bedroom•65 m²,From 18 Dec 2022
226,1778507,https://housinganywhere.com/room/1778507/de/Berlin/brunnenstra-e,€2500/Month (Bills included),Apartment•2 Bedrooms •60 m²,From 18 Dec 2022
227,1699896,https://housinganywhere.com/room/1699896/de/Berlin/brunnenstra-e,€2500/Month (Bills included),Apartment•2 Bedrooms •60 m²,From 18 Dec 2022
228,1654087,https://housinganywhere.com/room/1654087/de/Berlin/treseburger-ufer,€850/Month (Bills included),Private room•18 m²•2 housemates,From 1 Jan 2023
229,1548020,https://housinganywhere.com/room/1548020/de/Berlin/schr-derstra-e,€2500/Month (Bills included),Apartment•1 bedroom•72 m²,From 15 Jan 2023
230,1677660,https://housinganywhere.com/room/1677660/de/Berlin/friedrichsbrunner-stra-e,€850/Month (Bills included),Private room•19 m²•1 housemate,From 1 Feb 2023
231,1676139,https://housinganywhere.com/room/1676139/de/Berlin/friedrichsbrunner-stra-e,€850/Month (Bills included),Private room•20 m²•1 housemate,From 1 Feb 2023
232,1647157,https://housinganywhere.com/room/1647157/de/Berlin/weserstra-e,€1640/Month (Bills included),Studio•34 m²•Space for 2 people,From 1 May 2023
233,1712185,https://housinganywhere.com/room/1712185/de/Berlin/bastianstra-e,€1550/Month (Some bills included),Studio•38 m²•Space for 2 people,From 1 Jun 2023
234,1745262,https://housinganywhere.com/room/1745262/de/Berlin/gaudystra-e,€1650/Month (Bills included),Studio•45 m²•Space for 2 people,From 18 Dec 2022
235,1888079,https://housinganywhere.com/room/1888079/de/Berlin/m-llerstra-e,€1015/Month (Bills included),Private room•11 m²•2 housemates,From 4 Jan 2023
236,1895101,https://housinganywhere.com/room/1895101/de/Berlin/b-hmische-stra-e,From€1650/Month (Bills included),Studio•42 m²•Space for 2 people,From 15 Jan 2023
237,1887846,https://housinganywhere.com/room/1887846/de/Berlin/m-llerstra-e,€1015/Month (Bills included),Private room•10 m²•2 housemates,From 4 Feb 2023
238,1874358,https://housinganywhere.com/room/1874358/de/Berlin/m-llerstra-e,€1015/Month (Bills included),Private room•10 m²•2 housemates,From 4 Feb 2023
239,1892170,https://housinganywhere.com/room/1892170/de/Berlin/m-llerstra-e,€1015/Month (Bills included),Private room•10 m²•2 housemates,From 18 Feb 2023
